sample_name,Chromosome Count,NewName,,,,,
libani_52_Z,28,libani1,,>libani_52_Z,14,">libani_52_Z,14",>libani_52_Z
libani_56_D,28,libani2,,>libani_56_D,14,">libani_56_D,14",14
tuberosum_21_U,28,tuberosum,,>tuberosum_21_U,14,">tuberosum_21_U,14",>tuberosum_21_U
gracile_6_F,26,gracile,,>gracile_6_F,13,">gracile_6_F,13",14
renardii_12_L,Unknown,renardii,,>renardii_12_L,X,">renardii_12_L,X",>renardii_12_L
dissectum_44_R,22,dissectum,,>dissectum_44_R,11,">dissectum_44_R,11",X
pyrenaicum_31_E,"20, 22-24, 28",pyrenaicum,,>pyrenaicum_31_E,10=0.25_11=0.25_12=0.25_14=0.25,">pyrenaicum_31_E,10=0.25_11=0.25_12=0.25_14=0.25",>pyrenaicum_31_E
phaeum_10_J,"14, 28",phaeum,,>phaeum_10_J,7=0.5_14=0.5,">phaeum_10_J,7=0.5_14=0.5",10=0.25_11=0.25_12=0.25_14=0.25
subcaulescens_55_C,"28, 56",subcaulescens1,,>subcaulescens_55_C,14=0.5_28=0.5,">subcaulescens_55_C,14=0.5_28=0.5",>subcaulescens_55_C
subcaulescens_51_Y,"28, 56",subcaulescens2,,>subcaulescens_51_Y,14=0.5_28=0.5,">subcaulescens_51_Y,14=0.5_28=0.5",14=0.5_28=0.5
albanum_1_A,"20, 28",albanum,,>albanum_1_A,10=0.5_14=0.5,">albanum_1_A,10=0.5_14=0.5",>albanum_1_A
asphodeloides_50_X,"24 ,26, 28, 20+f",asphodeloides,,>asphodeloides_50_X,12=0.3333_13=0.3333_14=0.3333,">asphodeloides_50_X,12=0.3333_13=0.3333_14=0.3333",10=0.5_14=0.5
sessiflorum_14_N,"52, 56",sessiflorum,,>sessiflorum_14_N,26=0.5_28=0.5,">sessiflorum_14_N,26=0.5_28=0.5",>sessiflorum_14_N
corecore_43_Q,56,corecore,,>corecore_43_Q,28,">corecore_43_Q,28",26=0.5_28=0.5
sanguineum_13_M,"52, 56, 82, 84",sanguineum,,>sanguineum_13_M,26=0.25_28=0.25_41=0.25_42=0.25,">sanguineum_13_M,26=0.25_28=0.25_41=0.25_42=0.25",>sanguineum_13_M
nodosum_20_T,28,nodosum,,>nodosum_20_T,14,">nodosum_20_T,14",26=0.25_28=0.25_41=0.25_42=0.25
bohemicum_2_B,28,bohemicum,,>bohemicum_2_B,14,">bohemicum_2_B,14",>bohemicum_2_B
